done|do
had|have
been|be
arisen|arise
came|come
lain|lie
swum|swim
shrunk|shrink
sung|sing
withdrawn|withdraw
sunken|sink
sunk|sink
forgiven|forgive
bidden|bid
hurt|hurt
thrust|thrust
broadcast|broadcast
risen|rise
fallen|fall
split|split
spread|spread
fitted|fit
shut|shut
cast|cast
eaten|eat
broken|break
flown|fly
driven|drive
woken|wake
beaten|beat
ridden|ride
rung|ring
hidden|hide
struck|strike
stricken|strike
frozen|freeze
drawn|draw
sprung|spring
run|run
hit|hit
misread|misread
shed|shed
rid|rid
overcome|overcome
offset|offset
overrun|overrun
upset|upset
undercut|undercut
forsaken|forsake
overridden|override
overtaken|overtake
rewritten|rewrite
undone|undo
beset|beset
mistaken|mistake
underwritten|underwrite
bitten|bite
thrown|throw
stolen|steal
shaken|shake
worn|wear
blown|blow
torn|tear
cut|cut
raised|raise
lowered|lower
consented|consent
hesitated|hesitate
proceeded|proceed
aspired|aspire
purported|purport
endeavoured|endeavour
condescended|condescend
deigned|deign
happened|happen
wished|wish
hoped|hope
agreed|agree
pretended|pretend
sworn|swear
prayed|pray
vowed|vow
voted|vote
appeared|appear
seemed|seem
cared|care
asserted|assert
contended|contend
remarked|remark
retorted|retort
intimated|intimate
exclaimed|exclaim
conjectured|conjecture
alleged|allege
surmised|surmise
opined|opine
insinuated|insinuate
supposed|suppose
theorized|theorize
attested|attest
fantasized|fantasize
mused|muse
speculated|speculate
concurred|concur
replied|reply
shouted|shout
whispered|whisper
argued|argue
sighed|sigh
muttered|mutter
testified|testify
commented|comment
responded|respond
hinted|hint
reasoned|reason
bragged|brag
dreamed|dream
complained|complain
thought|think
mattered|matter
sufficed|suffice
insisted|insist
wondered|wonder
inquired|inquire
gone|go
stayed|stay
acted|act
sounded|sound
looked|look
repented|repent
disapproved|disapprove
talked|talk
consisted|consist
died|die
lasted|last
waited|wait
attempted|attempt
undertaken|undertake
deserved|deserve
managed|manage
plotted|plot
preferred|prefer
neglected|neglect
afforded|afford
committed|commit
professed|profess
desired|desire
sought|seek
declined|decline
failed|fail
hastened|hasten
volunteered|volunteer
aimed|aim
fought|fight
threatened|threaten
meant|mean
arranged|arrange
resolved|resolve
pledged|pledge
planned|plan
confessed|confess
decided|decide
remembered|remember
forgotten|forget
learned|learn
proposed|propose
demanded|demand
begged|beg
pleaded|plead
born|bear
loved|love
disliked|dislike
hated|hate
begun|begin
continued|continue
ceased|cease
started|start
stopped|stop
tried|try
recognized|recognize
disputed|dispute
accepted|accept
calculated|calculate
recorded|record
deduced|deduce
envisioned|envision
recounted|recount
signified|signify
clarified|clarify
disclosed|disclose
recollected|recollect
adduced|adduce
posited|posit
reiterated|reiterate
inferred|infer
presupposed|presuppose
repeated|repeat
reflected|reflect
countered|counter
signaled|signal
signalled|signal
provided|provide
doubted|doubt
reaffirmed|reaffirm
sensed|sense
reckoned|reckon
regretted|regret
proclaimed|proclaim
ascertained|ascertain
discerned|discern
stipulated|stipulate
affirmed|affirm
certified|certify
trusted|trust
postulated|postulate
ensured|ensure
implied|imply
verified|verify
boasted|boast
declared|declare
imagined|imagine
feared|fear
concluded|conclude
suspected|suspect
conceded|concede
presumed|presume
emphasized|emphasize
maintained|maintain
acknowledged|acknowledge
noted|note
confirmed|confirm
stressed|stress
assumed|assume
foreseen|foresee
believed|believe
answered|answer
worried|worry
protested|protest
ruled|rule
added|add
figured|figure
predicted|predict
realized|realize
discovered|discover
determined|determine
announced|announce
said|say
mentioned|mention
admitted|admit
recalled|recall
revealed|reveal
stated|state
observed|observe
indicated|indicate
guessed|guess
estimated|estimate
understood|understand
noticed|notice
explained|explain
demonstrated|demonstrate
known|know
requested|request
felt|feel
minded|mind
studied|study
discussed|discuss
opposed|oppose
enjoyed|enjoy
advocated|advocate
contemplated|contemplate
entailed|entail
necessitated|necessitate
justified|justify
risked|risk
avoided|avoid
involved|involve
anticipated|anticipate
favored|favor
finished|finish
practiced|practice
resisted|resist
quitted|quit
turned|turn
become|become
remained|remain
grown|grow
approved|approve
disposed|dispose
conceived|conceive
spoken|speak
tasted|taste
smelled|smell
taken|take
put|put
cost|cost
found|find
gotten|get
left|leave
kept|keep
paced|pace
watched|watch
tracked|track
set|set
loosed|loose
freed|free
held|hold
hostaged|hostage
expected|expect
claimed|claim
intended|intend
dared|dare
liked|like
offered|offer
refused|refuse
wanted|want
needed|need
chosen|choose
prepared|prepare
pressed|press
required|require
commanded|command
ordered|order
urged|urge
considered|consider
perceived|perceive
reported|report
cautioned|caution
warned|warn
advised|advise
heard|hear
seen|see
owed|owe
delivered|deliver
accorded|accord
awarded|award
termed|term
granted|grant
begrudged|begrudge
assigned|assign
renamed|rename
repaid|repay
dubbed|dub
entitled|entitle
fined|fine
given|give
sent|send
bought|buy
brought|bring
lent|lend
issued|issue
handed|hand
passed|pass
paid|pay
sold|sell
dealt|deal
called|call
read|read
written|write
charged|charge
allowed|allow
promised|promise
shown|show
taught|teach
compelled|compel
forced|force
designed|design
permitted|permit
authorized|authorize
caused|cause
enabled|enable
pressured|pressure
trained|train
sentenced|sentence
prompted|prompt
spurred|spur
invited|invite
reelected|reelect
encouraged|encourage
drafted|draft
hired|hire
enticed|entice
inspired|inspire
aided|aid
forbidden|forbid
employed|employ
educated|educate
tempted|tempt
condemned|condemn
commissioned|commission
counseled|counsel
induced|induce
instructed|instruct
licensed|license
incited|incite
nominated|nominate
destined|destine
provoked|provoke
challenged|challenge
exhorted|exhort
implored|implore
motivated|motivate
impelled|impel
used|use
elected|elect
appointed|appoint
named|name
programmed|program
obliged|oblige
convinced|convince
persuaded|persuade
told|tell
asked|ask
helped|help
reminded|remind
informed|inform
reassured|reassure
alerted|alert
guaranteed|guarantee
notified|notify
forewarned|forewarn
assured|assure
let|let
watched|watch
appreciated|appreciate
spent|spend
made|make
rendered|render
deemed|deem
deprived|deprive
accused|accuse
acquitted|acquit
purged|purge
disabused|disabuse
exonerated|exonerate
absolved|absolve
robbed|rob
convicted|convict
cleared|clear
betted|bet
bothered|bother
surprised|surprise
alarmed|alarm
amazed|amaze
amused|amuse
astonished|astonish
astounded|astound
excited|excite
depressed|depress
disgusted|disgust
distressed|distress
dismayed|dismay
irritated|irritate
embarrassed|embarrass
annoyed|annoy
proven|prove
suggested|suggest
recommended|recommend
denied|deny
described|describe
portrayed|portray
depicted|depict
regarded|regard
viewed|view
characterized|characterize
read|read
written|write
seemed|seem
appeared|appear
said|say
told|tell
asked|ask
said|say
voted|vote
doubled|double
tripled|triple
quadrupled|quadruple
quintupled|quintuple
abated|abate
abounded|abound
about-faced|about-face
absconded|abscond
abstained|abstain
acceded|accede
accounted|account
accrued|accrue
ached|ache
acquiesced|acquiesce
ad-libbed|ad-lib
adhered|adhere
adjoined|adjoin
alighted|alight
allied|allude
alluded|ally
amounted|amount
apologized|apologize
appertained|appertain
aquaplaned|aquaplane
arose|arise
arrived|arrive
assented|assent
atoned|atone
atrophied|atrophy
baaed|baa
babbled|babble
babysat|babysit
backfired|backfire
backpedalled|backpedal
backslid|backslide
backspaced|backspace
balked|balk
ballooned|balloon
banqueted|banquet
bantered|banter
barked|bark
barnstormed|barnstorm
basked|bask
bawled|bawl
bayed|bay
beetled|beetle
behaved|behave
belched|belch
bellyached|bellyache
belonged|belong
bickered|bicker
bicycled|bicycle
billowed|billow
blabbered|blabber
blathered|blather
blazed|blaze
bleated|bleat
bled|bleed
bleeped|bleep
bloomed|bloom
blossomed|blossom
blubbered|blubber
blundered|blunder
blushed|blush
boded|bode
boomed|boom
braked|brake
brawled|brawl
brayed|bray
bristled|bristle
brooded|brood
browsed|browse
bubbled|bubble
budded|bud
bullshitted|bullshit
bunked|bunk
burbled|burble
burgeoned|burgeon
burped|burp
bustled|bustle
cackled|cackle
campaigned|campaign
canoed|canoe
cantered|canter
capered|caper
capitulated|capitulate
careened|careen
carolled|carol
caroused|carouse
cascaded|cascade
castled|castle
catered|cater
caterwauled|caterwaul
cavilled|cavil
cavorted|cavort
chafed|chafe
chattered|chatter
cheeped|cheep
chirped|chirp
chirruped|chirrup
chortled|chortle
chuckled|chuckle
chugged|chug
chummed|chum
clacked|clack
clambered|clamber
clamored|clamor
clamoured|clamour
clanked|clank
clashed|clash
clattered|clatter
clerked|clerk
climaxed|climax
clung|cling
clucked|cluck
clunked|clunk
clustered|cluster
co-operated|co-operate
coalesced|coalesce
coasted|coast
coexisted|coexist
cohabited|cohabit
cohered|cohere
coincided|coincide
collaborated|collaborate
collided|collide
commentated|commentate
commiserated|commiserate
communed|commune
competed|compete
complied|comply
compromised|compromise
confabbed|confab
confabulated|confabulate
conflicted|conflict
conformed|conform
congealed|congeal
congregated|congregate
connived|connive
consorted|consort
conspired|conspire
convalesced|convalesce
converged|converge
conversed|converse
cooed|coo
cooperated|cooperate
coped|cope
copulated|copulate
corresponded|correspond
cowered|cower
crackled|crackle
crash-dived|crash-dive
creaked|creak
crested|crest
cringed|cringe
croaked|croak
crowed|crow
crusaded|crusade
culminated|culminate
curtseyed|curtsey
curtsied|curtsy
cycled|cycle
dabbled|dabble
dallied|dally
dawdled|dawdle
dawned|dawn
daydreamed|daydream
decamped|decamp
decayed|decay
defaulted|default
defecated|defecate
defected|defect
degenerated|degenerate
deliberated|deliberate
delved|delve
demurred|demur
departed|depart
depended|depend
deplaned|deplane
depreciated|depreciate
deputized|deputize
desisted|desist
despaired|despair
deteriorated|deteriorate
detracted|detract
deviated|deviate
devolved|devolve
dieted|diet
differed|differ
digressed|digress
dilly-dallied|dilly-dally
disagreed|disagree
disappeared|disappear
discoursed|discourse
discriminated|discriminate
disembarked|disembark
disintegrated|disintegrate
disrobed|disrobe
dissembled|dissemble
dissented|dissent
dithered|dither
diverged|diverge
doddered|dodder
domineered|domineer
doodled|doodle
doted|dote
double-parked|double-park
dovetailed|dovetail
drawled|drawl
drizzled|drizzle
drooled|drool
duelled|duel
dwelt|dwell
dwindled|dwindle
eavesdropped|eavesdrop
ebbed|ebb
economized|economize
eddied|eddy
effervesced|effervesce
elapsed|elapse
eloped|elope
emanated|emanate
embarked|embark
emerged|emerge
emigrated|emigrate
encamped|encamp
encroached|encroach
enquired|enquire
ensued|ensue
erred|err
erupted|erupt
evaporated|evaporate
excelled|excel
existed|exist
exited|exit
expatiated|expatiate
experimented|experiment
expired|expire
expostulated|expostulate
exulted|exult
fainted|faint
faltered|falter
fared|fare
farted|fart
fasted|fast
fawned|fawn
feinted|feint
festered|fester
fibbed|fib
fidgeted|fidget
filibustered|filibuster
fizzed|fizz
flailed|flail
flaked|flake
flamed|flame
flickered|flicker
flinched|flinch
flirted|flirt
flitted|flit
flopped|flop
floundered|flounder
flourished|flourish
flowered|flower
fluctuated|fluctuate
fluttered|flutter
fly-fished|fly-fish
foraged|forage
foregathered|foregather
fornicated|fornicate
fossilized|fossilize
foxhunted|foxhunt
fragmented|fragment
fraternized|fraternize
freelanced|freelance
freewheeled|freewheel
fretted|fret
frothed|froth
frowned|frown
fulminated|fulminate
fumed|fume
functioned|function
fussed|fuss
gallivanted|gallivant
galumphed|galumph
gambolled|gambol
gaped|gape
gardened|garden
gawped|gawp
gazed|gaze
gelled|gel
genuflected|genuflect
gesticulated|gesticulate
gestured|gesture
gibed|gibe
giggled|giggle
glared|glare
gleamed|gleam
glided|glide
glimmered|glimmer
glinted|glint
glistened|glisten
glittered|glitter
gloated|gloat
globetrotted|globetrot
gloried|glory
glowed|glow
glowered|glower
goggled|goggle
golfed|golf
gossiped|gossip
graduated|graduate
grappled|grapple
gravitated|gravitate
grayed|gray
grazed|graze
greyed|grey
grimaced|grimace
grinned|grin
grooved|groove
grouched|grouch
groused|grouse
grovelled|grovel
guffawed|guffaw
gurgled|gurgle
gybed|gybe
gyrated|gyrate
haggled|haggle
hankered|hanker
harked|hark
harped|harp
hawed|haw
hearkened|hearken
heeled|heel
hibernated|hibernate
hiccoughed|hiccough
hiccupped|hiccup
hinged|hinge
hissed|hiss
hitchhiked|hitchhike
hobnobbed|hobnob
hollered|holler
honeymooned|honeymoon
hovered|hover
huddled|huddle
huffed|huff
hungered|hunger
hurtled|hurtle
ice-skated|ice-skate
immigrated|immigrate
impended|impend
impinged|impinge
inched|inch
innovated|innovate
interacted|interact
interceded|intercede
intercommunicated|intercommunicate
interfered|interfere
intermarried|intermarry
intermingled|intermingle
intervened|intervene
introspected|introspect
intruded|intrude
inveighed|inveigh
itched|itch
jabbered|jabber
jack-knifed|jack-knife
jaunted|jaunt
jawed|jaw
jaywalked|jaywalk
jelled|jell
jested|jest
jibed|jibe
jived|jive
jockeyed|jockey
joked|joke
journeyed|journey
jousted|joust
kowtowed|kowtow
lagged|lag
languished|languish
lapsed|lapse
laughed|laugh
leafed|leaf
leered|leer
legislated|legislate
liaised|liaise
lip-read|lip-read
lisped|lisp
lived|live
loafed|loaf
loitered|loiter
lolled|loll
longed|long
loped|lope
lounged|lounge
lumbered|lumber
lurked|lurk
lusted|lust
luxuriated|luxuriate
majored|major
malfunctioned|malfunction
malingered|malinger
marvelled|marvel
masqueraded|masquerade
materialized|materialize
matriculated|matriculate
maturated|maturate
matured|mature
maundered|maunder
meandered|meander
meddled|meddle
meditated|meditate
menstruated|menstruate
metamorphosed|metamorphose
mewed|mew
miaoued|miaou
miaowed|miaow
migrated|migrate
militated|militate
mingled|mingle
ministered|minister
misbehaved|misbehave
misfired|misfire
molted|molt
monkeyed|monkey
mooed|moo
mooched|mooch
moped|mope
moralized|moralize
moseyed|mosey
motioned|motion
motored|motor
mushroomed|mushroom
mutinied|mutiny
name-dropped|name-drop
napped|nap
nattered|natter
necked|neck
neighed|neigh
nested|nest
networked|network
niggled|niggle
nosedived|nosedive
noshed|nosh
objected|object
occurred|occur
officiated|officiate
orated|orate
oscillated|oscillate
outgone|outgo
overacted|overact
overbidden|overbid
overeaten|overeat
overlain|overlie
overreacted|overreact
overslept|oversleep
paled|pale
palled|pall
palpitated|palpitate
pandered|pander
panhandled|panhandle
panicked|panic
panted|pant
parachuted|parachute
parleyed|parley
partaken|partake
participated|participate
pattered|patter
paused|pause
peaked|peak
pearled|pearl
peeped|peep
perambulated|perambulate
percolated|percolate
perished|perish
persevered|persevere
persisted|persist
perspired|perspire
pertained|pertain
philandered|philander
philosophized|philosophize
picnicked|picnic
piddled|piddle
pimped|pimp
pinged|ping
pirouetted|pirouette
pivoted|pivot
plodded|plod
plummetted|plummet
politicked|politick
pontificated|pontificate
pored|pore
postured|posture
pottered|potter
pounced|pounce
pouted|pout
powwowed|powwow
pranced|prance
prated|prate
prattled|prattle
pre-existed|pre-exist
predominated|predominate
presided|preside
prevailed|prevail
prevaricated|prevaricate
preyed|prey
